bbox,track_id,object_name,time_date,bbox_image_path,confidence,score
"[428, 495, 523, 576]",1.0,car,2025-05-07__19_22_03_675335,processed_video\Video1\bbox_images\1.0_2025-05-07__19_22_03_675335.jpg,0.7555075883865356
"[516, 393, 565, 437]",2.0,car,2025-05-07__19_22_03_676331,processed_video\Video1\bbox_images\2.0_2025-05-07__19_22_03_676331.jpg,0.7158904671669006
"[300, 468, 400, 541]",3.0,car,2025-05-07__19_22_03_677314,processed_video\Video1\bbox_images\3.0_2025-05-07__19_22_03_677314.jpg,0.6639229655265808
"[987, 197, 1277, 287]",4.0,train,2025-05-07__19_22_03_678330,processed_video\Video1\bbox_images\4.0_2025-05-07__19_22_03_678330.jpg,0.6213829517364502
"[553, 331, 590, 363]",5.0,car,2025-05-07__19_22_03_678330,processed_video\Video1\bbox_images\5.0_2025-05-07__19_22_03_678330.jpg,0.5061678290367126
"[201, 404, 311, 495]",6.0,truck,2025-05-07__19_22_03_679314,processed_video\Video1\bbox_images\6.0_2025-05-07__19_22_03_679314.jpg,0.5031675100326538
"[673, 297, 697, 313]",7.0,car,2025-05-07__19_22_03_679314,processed_video\Video1\bbox_images\7.0_2025-05-07__19_22_03_679314.jpg,0.3999370038509369
"[410, 294, 483, 358]",8.0,bus,2025-05-07__19_22_03_680321,processed_video\Video1\bbox_images\8.0_2025-05-07__19_22_03_680321.jpg,0.34614574909210205
"[454, 342, 505, 389]",9.0,truck,2025-05-07__19_22_03_680321,processed_video\Video1\bbox_images\9.0_2025-05-07__19_22_03_680321.jpg,0.2644014060497284
"[552, 306, 594, 363]",10.0,car,2025-05-07__19_22_03_681315,processed_video\Video1\bbox_images\10.0_2025-05-07__19_22_03_681315.jpg,0.25302472710609436
"[430, 493, 525, 574]",1.0,car,2025-05-07__19_22_03_940225,processed_video\Video1\bbox_images\1.0_2025-05-07__19_22_03_940225.jpg,0.7485243678092957
"[517, 391, 565, 436]",2.0,car,2025-05-07__19_22_03_941224,processed_video\Video1\bbox_images\2.0_2025-05-07__19_22_03_941224.jpg,0.7321366667747498
"[302, 465, 403, 535]",3.0,car,2025-05-07__19_22_03_941224,processed_video\Video1\bbox_images\3.0_2025-05-07__19_22_03_941224.jpg,0.7560732960700989
